board_state	best_move	score_evaluation	mate_evaluation	candidate_moves
[(7, 7, 2)]	(6, 6)	-46.25	None	{'(6, 6)': {'count': 4, 'move': (6, 6), 'evaluations': ['-43', '-45', '-66', '-46']}, '(6, 7)': {'count': 4, 'move': (6, 7), 'evaluations': ['-33', '-25', '-42', '-70']}}
[(7, 7, 2)]	(6, 6)	-55.625	None	{'(6, 6)': {'count': 4, 'move': (6, 6), 'evaluations': ['-43', '-66', '-68', '-61']}, '(6, 7)': {'count': 4, 'move': (6, 7), 'evaluations': ['-43', '-30', '-78', '-56']}}
[(7, 7, 2)]	(6, 6)	-71.25	None	{'(6, 6)': {'count': 4, 'move': (6, 6), 'evaluations': ['-43', '-70', '-98', '-66']}, '(6, 7)': {'count': 4, 'move': (6, 7), 'evaluations': ['-70', '-86', '-58', '-79']}}
[(7, 7, 2)]	(6, 7)	-67.375	None	{'(6, 6)': {'count': 2, 'move': (6, 6), 'evaluations': ['-43', '-96']}, '(6, 7)': {'count': 6, 'move': (6, 7), 'evaluations': ['-90', '-53', '-66', '-61', '-57', '-73']}}
[(7, 7, 2)]	(6, 6)	-52.0	None	{'(6, 6)': {'count': 4, 'move': (6, 6), 'evaluations': ['-43', '-52', '-58', '-28']}, '(6, 7)': {'count': 4, 'move': (6, 7), 'evaluations': ['-51', '-58', '-63', '-63']}}
[(7, 7, 2)]	(6, 6)	-81.375	None	{'(6, 6)': {'count': 6, 'move': (6, 6), 'evaluations': ['-43', '-64', '-87', '-110', '-102', '-90']}, '(6, 7)': {'count': 2, 'move': (6, 7), 'evaluations': ['-99', '-56']}}
[(7, 7, 2)]	(6, 6)	-80.625	None	{'(6, 6)': {'count': 4, 'move': (6, 6), 'evaluations': ['-43', '-71', '-68', '-80']}, '(6, 7)': {'count': 4, 'move': (6, 7), 'evaluations': ['-58', '-102', '-120', '-103']}}
[(7, 7, 2)]	(6, 6)	-60.25	None	{'(6, 6)': {'count': 5, 'move': (6, 6), 'evaluations': ['-43', '-56', '-74', '-62', '-67']}, '(6, 7)': {'count': 3, 'move': (6, 7), 'evaluations': ['-73', '-56', '-51']}}
[(7, 7, 2)]	(6, 6)	-67.625	None	{'(6, 6)': {'count': 6, 'move': (6, 6), 'evaluations': ['-43', '-70', '-77', '-64', '-65', '-83']}, '(6, 7)': {'count': 2, 'move': (6, 7), 'evaluations': ['-49', '-90']}}
[(7, 7, 2)]	(6, 6)	-67.0	None	{'(6, 6)': {'count': 5, 'move': (6, 6), 'evaluations': ['-43', '-57', '-78', '-66', '-88']}, '(6, 7)': {'count': 3, 'move': (6, 7), 'evaluations': ['-61', '-62', '-81']}}
[(7, 7, 2)]	(6, 6)	-63.75	None	{'(6, 6)': {'count': 6, 'move': (6, 6), 'evaluations': ['-43', '-87', '-57', '-90', '-91', '-50']}, '(6, 7)': {'count': 2, 'move': (6, 7), 'evaluations': ['-48', '-44']}}
[(7, 7, 2)]	(6, 7)	-93.25	None	{'(6, 6)': {'count': 2, 'move': (6, 6), 'evaluations': ['-43', '-84']}, '(6, 7)': {'count': 5, 'move': (6, 7), 'evaluations': ['-77', '-49', '-96', '-106', '-150']}, '(5, 6)': {'count': 1, 'move': (5, 6), 'evaluations': ['-141']}}
[(7, 7, 2)]	(6, 6)	-81.75	None	{'(6, 6)': {'count': 4, 'move': (6, 6), 'evaluations': ['-43', '-87', '-105', '-91']}, '(6, 7)': {'count': 4, 'move': (6, 7), 'evaluations': ['-86', '-103', '-43', '-96']}}
[(7, 7, 2)]	(6, 6)	-80.25	None	{'(6, 6)': {'count': 6, 'move': (6, 6), 'evaluations': ['-43', '-95', '-96', '-75', '-85', '-102']}, '(6, 7)': {'count': 2, 'move': (6, 7), 'evaluations': ['-81', '-65']}}
[(7, 7, 2)]	(6, 6)	-67.75	None	{'(6, 6)': {'count': 5, 'move': (6, 6), 'evaluations': ['-43', '-73', '-72', '-60', '-105']}, '(6, 7)': {'count': 3, 'move': (6, 7), 'evaluations': ['-70', '-50', '-69']}}
[(7, 7, 2)]	(6, 6)	-60.25	None	{'(6, 6)': {'count': 4, 'move': (6, 6), 'evaluations': ['-43', '-64', '-81', '-61']}, '(6, 7)': {'count': 4, 'move': (6, 7), 'evaluations': ['-38', '-44', '-70', '-81']}}
[(7, 7, 2)]	(6, 7)	-56.625	None	{'(6, 6)': {'count': 2, 'move': (6, 6), 'evaluations': ['-43', '-55']}, '(6, 7)': {'count': 6, 'move': (6, 7), 'evaluations': ['-52', '-40', '-63', '-69', '-69', '-62']}}
[(7, 7, 2)]	(6, 7)	-61.25	None	{'(6, 6)': {'count': 1, 'move': (6, 6), 'evaluations': ['-43']}, '(6, 7)': {'count': 7, 'move': (6, 7), 'evaluations': ['-71', '-58', '-59', '-61', '-72', '-58', '-68']}}
[(7, 7, 2)]	(6, 7)	-65.125	None	{'(6, 6)': {'count': 2, 'move': (6, 6), 'evaluations': ['-43', '-76']}, '(6, 7)': {'count': 6, 'move': (6, 7), 'evaluations': ['-68', '-89', '-79', '-80', '-31', '-55']}}
[(7, 7, 2)]	(6, 6)	-62.625	None	{'(6, 6)': {'count': 6, 'move': (6, 6), 'evaluations': ['-43', '-71', '-56', '-88', '-61', '-74']}, '(6, 7)': {'count': 2, 'move': (6, 7), 'evaluations': ['-54', '-54']}}
[(7, 7, 2)]	(6, 6)	-59.5	None	{'(6, 6)': {'count': 7, 'move': (6, 6), 'evaluations': ['-43', '-44', '-57', '-94', '-37', '-48', '-87']}, '(6, 7)': {'count': 1, 'move': (6, 7), 'evaluations': ['-66']}}
[(7, 7, 2)]	(6, 6)	-54.25	None	{'(6, 6)': {'count': 4, 'move': (6, 6), 'evaluations': ['-43', '-78', '-54', '-46']}, '(6, 7)': {'count': 4, 'move': (6, 7), 'evaluations': ['-64', '-35', '-50', '-64']}}
[(7, 7, 2)]	(6, 6)	-69.625	None	{'(6, 6)': {'count': 5, 'move': (6, 6), 'evaluations': ['-53', '-62', '-90', '-58', '-55']}, '(6, 7)': {'count': 3, 'move': (6, 7), 'evaluations': ['-94', '-82', '-63']}}
[(7, 7, 2)]	(6, 7)	-62.375	None	{'(6, 6)': {'count': 3, 'move': (6, 6), 'evaluations': ['-43', '-41', '-65']}, '(6, 7)': {'count': 5, 'move': (6, 7), 'evaluations': ['-76', '-98', '-60', '-78', '-38']}}
[(7, 7, 1), (6, 6, 2)]	(5, 8)	208.125	None	{'(5, 8)': {'count': 8, 'move': (5, 8), 'evaluations': ['210', '217', '206', '189', '222', '214', '220', '187']}}
[(7, 7, 1), (6, 6, 2)]	(5, 8)	225.875	None	{'(5, 8)': {'count': 8, 'move': (5, 8), 'evaluations': ['205', '238', '250', '205', '229', '208', '235', '237']}}
[(7, 7, 1), (6, 7, 2)]	(6, 6)	231.25	None	{'(6, 6)': {'count': 7, 'move': (6, 6), 'evaluations': ['216', '240', '249', '186', '271', '214', '282']}, '(5, 6)': {'count': 1, 'move': (5, 6), 'evaluations': ['192']}}
[(7, 7, 1), (6, 6, 2)]	(5, 8)	209.875	None	{'(5, 8)': {'count': 8, 'move': (5, 8), 'evaluations': ['215', '225', '242', '197', '205', '210', '185', '200']}}
[(7, 7, 1), (6, 6, 2)]	(5, 8)	226.125	None	{'(5, 8)': {'count': 8, 'move': (5, 8), 'evaluations': ['213', '219', '218', '241', '234', '236', '250', '198']}}
[(7, 7, 1), (6, 6, 2)]	(5, 8)	234.875	None	{'(5, 8)': {'count': 8, 'move': (5, 8), 'evaluations': ['250', '250', '222', '250', '215', '257', '241', '194']}}
[(7, 7, 1), (6, 7, 2)]	(5, 6)	211.375	None	{'(7, 5)': {'count': 3, 'move': (7, 5), 'evaluations': ['204', '243', '255']}, '(5, 6)': {'count': 5, 'move': (5, 6), 'evaluations': ['193', '190', '193', '202', '211']}}
[(7, 7, 1), (6, 6, 2)]	(5, 8)	222.0	None	{'(5, 8)': {'count': 8, 'move': (5, 8), 'evaluations': ['229', '226', '222', '265', '214', '193', '240', '187']}}
[(7, 7, 1), (6, 6, 2)]	(5, 8)	217.125	None	{'(5, 8)': {'count': 8, 'move': (5, 8), 'evaluations': ['214', '203', '238', '223', '204', '206', '189', '260']}}
[(7, 7, 1), (6, 6, 2)]	(5, 8)	203.875	None	{'(5, 8)': {'count': 8, 'move': (5, 8), 'evaluations': ['209', '208', '187', '208', '202', '216', '185', '216']}}
[(7, 7, 1), (6, 6, 2)]	(5, 8)	235.375	None	{'(5, 8)': {'count': 8, 'move': (5, 8), 'evaluations': ['206', '246', '234', '222', '237', '264', '256', '218']}}
[(7, 7, 1), (6, 6, 2)]	(5, 8)	230.125	None	{'(5, 8)': {'count': 8, 'move': (5, 8), 'evaluations': ['208', '253', '209', '211', '242', '227', '217', '274']}}
[(7, 7, 1), (6, 7, 2)]	(6, 6)	244.0	None	{'(6, 6)': {'count': 8, 'move': (6, 6), 'evaluations': ['226', '268', '256', '156', '219', '295', '281', '251']}}
[(7, 7, 1), (6, 6, 2)]	(5, 8)	281.625	None	{'(5, 8)': {'count': 5, 'move': (5, 8), 'evaluations': ['205', '213', '232', '213', '213']}, '(8, 9)': {'count': 3, 'move': (8, 9), 'evaluations': ['384', '397', '396']}}
[(7, 7, 1), (6, 6, 2)]	(7, 8)	316.375	None	{'(7, 8)': {'count': 5, 'move': (7, 8), 'evaluations': ['195', '276', '193', '224', '249']}, '(8, 9)': {'count': 3, 'move': (8, 9), 'evaluations': ['310', '678', '406']}}
[(7, 7, 1), (6, 6, 2)]	(5, 8)	220.125	None	{'(5, 8)': {'count': 7, 'move': (5, 8), 'evaluations': ['203', '212', '205', '183', '203', '241', '247']}, '(6, 9)': {'count': 1, 'move': (6, 9), 'evaluations': ['267']}}
[(7, 7, 1), (6, 6, 2)]	(5, 8)	219.375	None	{'(5, 8)': {'count': 5, 'move': (5, 8), 'evaluations': ['206', '214', '194', '205', '179']}, '(6, 9)': {'count': 3, 'move': (6, 9), 'evaluations': ['230', '222', '305']}}
[(7, 7, 1), (6, 6, 2)]	(5, 8)	219.625	None	{'(7, 8)': {'count': 1, 'move': (7, 8), 'evaluations': ['171']}, '(5, 8)': {'count': 7, 'move': (5, 8), 'evaluations': ['209', '225', '228', '250', '207', '224', '243']}}
[(7, 7, 1), (6, 7, 2)]	(9, 6)	189.875	None	{'(6, 5)': {'count': 1, 'move': (6, 5), 'evaluations': ['159']}, '(7, 6)': {'count': 1, 'move': (7, 6), 'evaluations': ['130']}, '(9, 6)': {'count': 3, 'move': (9, 6), 'evaluations': ['116', '251', '274']}, '(5, 6)': {'count': 3, 'move': (5, 6), 'evaluations': ['178', '204', '207']}}
[(7, 7, 1), (6, 7, 2)]	(5, 6)	200.75	None	{'(5, 6)': {'count': 8, 'move': (5, 6), 'evaluations': ['206', '199', '231', '187', '204', '185', '200', '194']}}
[(7, 7, 1), (6, 6, 2)]	(5, 8)	228.875	None	{'(5, 8)': {'count': 8, 'move': (5, 8), 'evaluations': ['185', '206', '254', '204', '225', '261', '247', '249']}}
